"pub_date","date_type","href","title","lan"
"18.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvNjQ5NQ==.html","Energieeffizienzvorschriften für Geräte und Anlagen gemäss EnEV (SR 730.02)","DE"
"18.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTE2NjE=.html","Gesamte Erzeugung und Abgabe elektrischer Energie in der Schweiz 2024","DE"
"17.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNjM=.html","Sachplan geologische Tiefenlager: Monitoring Wirtschaft und Gesellschaft 2024","DE"
"17.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNjk=.html","Sachplan geologisches Tiefenlager: Monitoring Wirtschaft und Gesellschaft 2024","DE"
"17.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNjY=.html","Sachplan geologisches Tiefenlager: Monitoring Wirtschaft und Gesellschaft 2024","DE"
"17.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvNjU5Mw==.html","Sommerliche Überhitzung vermeiden und Wintersonne nutzen","DE"
"17.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNjc=.html","Sachplan geologisches Tiefenlager: Monitoring Wirtschaft und Gesellschaft 2024","DE"
"17.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTEzMjE=.html","Gesamte Erzeugung und Abgabe elektrischer Energie in der Schweiz 2023","DE"
"17.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNjg=.html","Sachplan geologische Tiefenlager: Monitoring Wirtschaft und Gesellschaft 2024","DE"
"16.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTA4Mzg=.html","Gesamte Erzeugung und Abgabe elektrischer Energie in der Schweiz 2022","DE"
"15.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTA0MjY=.html","Gesamte Erzeugung und Abgabe elektrischer Energie in der Schweiz 2021","DE"
"14.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTAwODY=.html","Gesamte Erzeugung und Abgabe elektrischer Energie in der Schweiz 2020","DE"
"13.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNjA=.html","Stromabkommen zwischen der Schweiz und der EU","DE"
"13.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNjI=.html","Potenzial für Erneuerungen und Erweiterungen bei der Grosswasserkraft","DE"
"12.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNTc=.html","Mikroorganismen machen Biomethan","DE"
"12.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNTk=.html","Energieforschung und Innovation - Bericht 2024","DE"
"11.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNTU=.html","«Sie müssen in die Rolle des Verkäufers schlüpfen»","DE"
"11.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNTY=.html","«Tue Gutes  und rede darüber»","DE"
"05.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNTA=.html","Brennstoffzellen im XL-Format","DE"
"05.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTIxNTE=.html","Flyer SWEET Konferenz 2025","DE"
"01.06.2025","pdf","/bfe/de/home/news-und-medien/publikationen.exturl.html/aHR0cHM6Ly9wdWJkYi5iZmUuYWRtaW4uY2gvZGUvcHVibGljYX/Rpb24vZG93bmxvYWQvMTExNDg=.html","Vollzug der CO2-Emissionsvorschriften für Neuwagen – Richtlinie für Grossimporteure","DE"
